,PermitType,PermitTypeDesc,PermitNum,PermitClassMapped,PermitClass,WorkClass,Condominium,ProjectName,TCAD_ID,AppliedDate,IssuedDate,DayIssued,CalendarYearIssued,StatusDate,ExpiresDate,CompletedDate,TotalExistingBldgSQFT,RemodelRepairSQFT,TotalNewAddSQFT,TotalValuationRemodel,TotalJobValuation,NumberOfFloors,HousingUnits,Key,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,ProjectID,MasterPermitNum,Latitude,Longitude,Location,BlockGroupCode
5862,BP,Building Permit,2017-015860 BP,Residential,R- 101 Single Family Houses,New,Yes,6508 STEEP CACTUS TRL,407470401,12/12/2016,2/10/2017,FRIDAY,2017,12/21/2017,12/21/2017,12/21/2017,,,"1,387",,"$130,519.00 ",2.0,1,5863,6508 STEEP CACTUS TRL,AUSTIN,TX,78735,11671229,11644311.0,30.24130975,-97.87713695,"(30.24130975, -97.87713695)",484530000000
5863,BP,Building Permit,2017-015841 BP,Residential,R- 101 Single Family Houses,New,No,4300 NITSCHKE ST,219160609,1/6/2017,2/14/2017,TUESDAY,2017,10/23/2017,10/23/2017,10/23/2017,,,"3,340",,"$364,935.00 ",2.0,1,5864,4300 NITSCHKE ST,AUSTIN,TX,78723,11671198,11654255.0,30.29451574,-97.69940798,"(30.29451574, -97.69940798)",484530000000
5864,BP,Building Permit,2017-015839 BP,Residential,R- 101 Single Family Houses,New,No,12629 ONDARA DR,430530802,1/21/2017,2/11/2017,SATURDAY,2017,9/19/2017,9/19/2017,9/19/2017,,,"3,938",,"$235,350.00 ",2.0,1,5865,12629 ONDARA DR,AUSTIN,TX,78739,11671196,11661200.0,30.17348932,-97.91516379,"(30.17348932, -97.91516379)",484530000000
5865,BP,Building Permit,2017-015838 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,1105 BROOKSWOOD AVE,204190116,1/30/2017,2/10/2017,FRIDAY,2017,12/8/2017,12/8/2017,12/8/2017,,,0,"$18,000.00 ","$18,000.00 ",1.0,1,5866,1105 BROOKSWOOD AVE,AUSTIN,TX,78721,11671194,11665277.0,30.26417504,-97.68972289,"(30.26417504, -97.68972289)",484530021111
5866,BP,Building Permit,2017-017656 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,64 PALMA CIR,312200305,2/14/2017,2/14/2017,TUESDAY,2017,3/30/2017,3/10/2017,3/10/2017,,,88,"$2,000.00 ","$2,000.00 ",0.0,0,5867,64 PALMA CIR,AUSTIN,TX,78744,11673298,,30.21963176,-97.68593821,"(30.21963176, -97.68593821)",484530000000
5867,BP,Building Permit,2017-017652 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,8 ROYAL PALMS DR,312200305,2/14/2017,2/14/2017,TUESDAY,2017,3/30/2017,2/23/2017,2/23/2017,,,88,"$2,000.00 ","$2,000.00 ",0.0,0,5868,8 ROYAL PALMS DR,AUSTIN,TX,78744,11673294,,30.21922337,-97.68613942,"(30.21922337, -97.68613942)",484530024312
5868,BP,Building Permit,2017-017650 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,10104 KIEFFER CT,168191105,2/1/2017,3/29/2017,WEDNESDAY,2017,1/30/2018,7/29/2018,,,,0,"$138,000.00 ","$138,000.00 ",2.0,1,5869,10104 KIEFFER CT,AUSTIN,TX,78750,11673289,11666408.0,30.43308606,-97.81174904,"(30.43308606, -97.81174904)",484530017142
5869,BP,Building Permit,2017-017642 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,17 MADRONA DR,312200305,2/14/2017,2/14/2017,TUESDAY,2017,3/30/2017,3/10/2017,3/10/2017,,,88,"$2,000.00 ","$2,000.00 ",0.0,0,5870,17 MADRONA DR,AUSTIN,TX,78744,11673281,,30.21871013,-97.68526041,"(30.21871013, -97.68526041)",484530024312
5870,BP,Building Permit,2017-017604 BP,Residential,R- 101 Single Family Houses,New,Yes,5820 HARPER PARK DR UNIT 76,406300601,1/30/2017,2/15/2017,WEDNESDAY,2017,8/3/2017,8/3/2017,8/3/2017,,,"3,108",,"$269,394.00 ",2.0,1,5871,5820 HARPER PARK DR UNIT 76,AUSTIN,TX,78735,11673240,11665026.0,30.23766349,-97.85205165,"(30.23766349, -97.85205165)",484530000000
5871,BP,Building Permit,2017-017596 BP,Residential,R- 329 Res Structures Other Than Bldg,New,No,9309 BLUEGRASS DR,154050127,1/30/2017,3/6/2017,MONDAY,2017,4/6/2018,4/6/2018,4/6/2018,,,288,,"$40,000.00 ",0.0,0,5872,9309 BLUEGRASS DR,AUSTIN,TX,78759,11673230,11665190.0,30.39753988,-97.76716566,"(30.39753988, -97.76716566)",484530017572
5872,BP,Building Permit,2017-015827 BP,Residential,R- 101 Single Family Houses,New,No,9900 ALY MAY DR,430190902,1/25/2017,2/10/2017,FRIDAY,2017,9/14/2017,9/14/2017,9/14/2017,,,"2,535",,"$227,990.00 ",2.0,1,5873,9900 ALY MAY DR,AUSTIN,TX,78748,11671179,11663513.0,30.17195668,-97.81849299,"(30.17195668, -97.81849299)",484530024211
5873,BP,Building Permit,2017-015807 BP,Residential,R- 101 Single Family Houses,New,No,14420 IVEANS WAY,R541978,1/11/2017,2/13/2017,MONDAY,2017,11/20/2017,11/20/2017,11/20/2017,,,"2,675",,"$538,703.00 ",2.0,1,5874,14420 IVEANS WAY,AUSTIN,TX,78717,11671152,11656313.0,30.48832565,-97.75383511,"(30.48832565, -97.75383511)",484530000000
5874,BP,Building Permit,2017-015754 BP,Residential,R- 101 Single Family Houses,New,No,14408 IVEANS WAY,R541981,1/6/2017,2/10/2017,FRIDAY,2017,10/27/2017,10/27/2017,10/27/2017,,,"4,479",,"$557,900.00 ",2.0,1,5875,14408 IVEANS WAY,AUSTIN,TX,78717,11671080,11654250.0,30.48777927,-97.75360839,"(30.48777927, -97.75360839)",484530000000
5875,BP,Building Permit,2017-015752 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,8207 POLAR DR,240080307,12/16/2016,3/15/2017,WEDNESDAY,2017,10/30/2017,10/30/2017,10/30/2017,,,405,"$24,000.00 ","$34,000.00 ",1.0,1,5876,8207 POLAR DR,AUSTIN,TX,78757,11671075,11647409.0,30.35709827,-97.7200071,"(30.35709827, -97.7200071)",484530018182
5876,BP,Building Permit,2017-015732 BP,Residential,R- 101 Single Family Houses,New,No,13709 HARRISGLENN DR,260330508,2/9/2017,2/11/2017,SATURDAY,2017,11/9/2017,11/9/2017,11/9/2017,,,"3,040",,"$141,840.00 ",2.0,1,5877,13709 HARRISGLENN DR,AUSTIN,TX,78660,11671051,11670702.0,30.40895022,-97.64042663,"(30.40895022, -97.64042663)",484530000000
5877,BP,Building Permit,2017-015723 BP,Residential,R- 101 Single Family Houses,New,Yes,1411 HYDE ST  **CONDOMINIUM RESIDENCE**,304100201,2/6/2017,2/15/2017,WEDNESDAY,2017,12/22/2017,12/22/2017,12/22/2017,,,"2,419",,"$450,000.00 ",3.0,1,5878,1411 HYDE ST,AUSTIN,TX,78741,11671039,11668803.0,30.23880639,-97.71843151,"(30.23880639, -97.71843151)",484530000000
5878,BP,Building Permit,2017-015698 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,2415 WINSTED LN,116030608,2/3/2017,2/16/2017,THURSDAY,2017,8/16/2017,8/15/2017,,,,0,"$35,000.00 ","$35,000.00 ",1.0,1,5879,2415 WINSTED LN,AUSTIN,TX,78703,11671008,11667965.0,30.2936693,-97.76009602,"(30.2936693, -97.76009602)",484530016035
5879,BP,Building Permit,2017-015676 BP,Residential,R- 101 Single Family Houses,New,No,2304 ROBERT BROWNING ST,219160609,1/20/2017,2/23/2017,THURSDAY,2017,10/18/2017,10/18/2017,10/18/2017,,,"3,882",,"$195,300.00 ",2.0,1,5880,2304 ROBERT BROWNING ST,AUSTIN,TX,78723,11670921,11660743.0,30.29900146,-97.69900030000001,"(30.29900146, -97.6990003)",484530000000
5880,BP,Building Permit,2017-015587 BP,Residential,R- 102 Secondary Apartment,New,No,1406 ULIT AVE Unit 2,210120207,12/21/2016,2/10/2017,FRIDAY,2017,10/6/2017,10/6/2017,10/6/2017,,,"1,131",,"$80,000.00 ",2.0,1,5881,1406 ULIT AVE,AUSTIN,TX,78702,11670809,11649037.0,30.27763536,-97.71194827,"(30.27763536, -97.71194827)",484530008031
5881,BP,Building Permit,2017-015586 BP,Residential,R- 101 Single Family Houses,New,No,1406 ULIT AVE- Unit 1,210120207,12/21/2016,2/10/2017,FRIDAY,2017,10/10/2017,10/10/2017,10/10/2017,,,"1,788",,"$125,000.00 ",2.0,1,5882,1406 ULIT AVE,AUSTIN,TX,78702,11670808,11649037.0,30.27763536,-97.71194827,"(30.27763536, -97.71194827)",484530008031
5882,BP,Building Permit,2017-015572 BP,Residential,R- 101 Single Family Houses,New,No,14513 IVEANS WAY,,1/6/2017,2/10/2017,FRIDAY,2017,8/30/2017,8/30/2017,8/30/2017,,,"3,094",,"$505,900.00 ",1.0,1,5883,14513 IVEANS WAY,AUSTIN,TX,78717,11670786,11654267.0,30.48931813,-97.75367833,"(30.48931813, -97.75367833)",484530000000
5883,BP,Building Permit,2017-015549 BP,Residential,R- 101 Single Family Houses,New,No,14400 IVEANS WAY,R541983,1/6/2017,2/10/2017,FRIDAY,2017,8/16/2017,8/16/2017,8/16/2017,,,"3,753",,"$533,900.00 ",1.0,1,5884,14400 IVEANS WAY,AUSTIN,TX,78717,11670759,11654257.0,30.48747097,-97.7533213,"(30.48747097, -97.7533213)",484530000000
5884,BP,Building Permit,2017-015511 BP,Residential,R- 438 Residential Retaining Wall,New,No,1009 GASTON AVE,216010114,2/9/2017,2/9/2017,THURSDAY,2017,3/6/2017,3/6/2017,3/6/2017,,,,,"$2,500.00 ",,,5885,1009 GASTON AVE,AUSTIN,TX,78703,11670716,,30.29334049,-97.74881241,"(30.29334049, -97.74881241)",484530016034
5885,BP,Building Permit,2017-015490 BP,Residential,R- 103 Two Family Bldgs,New,No,1500 MADISON AVE,235081316,10/26/2016,2/10/2017,FRIDAY,2017,2/8/2018,2/8/2018,2/8/2018,,,"4,869",,"$300,000.00 ",2.0,2,5886,1500 MADISON AVE,AUSTIN,TX,78757,11670691,11622705.0,30.34456873,-97.72560096,"(30.34456873, -97.72560096)",484530015044
5886,BP,Building Permit,2017-016841 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,1413 RIDGEHAVEN DR,223160203,12/16/2016,4/10/2017,MONDAY,2017,3/27/2018,3/27/2018,3/27/2018,,,725,"$25,000.00 ","$100,000.00 ",1.0,1,5887,1413 RIDGEHAVEN DR,AUSTIN,TX,78723,11672350,11647480.0,30.3131535,-97.69826525,"(30.3131535, -97.69826525)",484530021042
5887,BP,Building Permit,2017-016809 BP,Residential,R- 101 Single Family Houses,New,No,9206 IVALENES HOPE DR,R541880,11/23/2016,2/15/2017,WEDNESDAY,2017,9/27/2017,9/27/2017,9/27/2017,,,"4,052",,"$489,900.00 ",1.0,1,5888,9206 IVALENES HOPE DR,AUSTIN,TX,78717,11672314,11636640.0,30.49258921,-97.75249186,"(30.49258921, -97.75249186)",484530000000
5888,BP,Building Permit,2017-016733 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,1706 THOUSAND OAKS CIR,106160204,7/18/2016,2/14/2017,TUESDAY,2017,1/25/2018,7/24/2018,,,,616,"$60,000.00 ","$120,000.00 ",2.0,1,5889,1706 THOUSAND OAKS CIR,AUSTIN,TX,78746,11672231,11566556.0,30.26586085,-97.80625656,"(30.26586085, -97.80625656)",484530019103
5889,BP,Building Permit,2017-016725 BP,Residential,R- 101 Single Family Houses,New,No,6708 RANCHITO DR,330060903,2/8/2017,2/15/2017,WEDNESDAY,2017,3/30/2017,8/14/2017,,,,"3,233",,"$187,620.00 ",2.0,1,5890,6708 RANCHITO DR,AUSTIN,TX,78744,11672223,11670450.0,30.169410499999998,-97.73060596,"(30.1694105, -97.73060596)",484530000000
5890,BP,Building Permit,2017-016716 BP,Residential,R- 101 Single Family Houses,New,No,6716 RANCHITO DR,330060901,2/9/2017,2/15/2017,WEDNESDAY,2017,3/30/2017,8/14/2017,,,,"2,430",,"$119,520.00 ",1.0,1,5891,6716 RANCHITO DR,AUSTIN,TX,78744,11672206,11670687.0,30.1693411,-97.73030396,"(30.1693411, -97.73030396)",484530000000
